Total allocated: 47845126 bytes (355066 objects)
Total retained:  14703815 bytes (111603 objects)

allocated memory by gem
-----------------------------------
  16741199  bootsnap-1.12.0
   5765817  rubygems
   4125416  bundler-2.3.14
   3255610  activesupport-7.0.4
   2830269  ruby-3.1.2/lib
   2289191  activerecord-7.0.4
   1921527  debug-1.5.0
   1365634  railties-7.0.4
   1341689  sprockets-4.1.1
   1199237  actionpack-7.0.4
    990537  tzinfo-2.0.5
    669780  other
    602779  msgpack-1.5.6
    479279  actionview-7.0.4
    344678  faker-2.21.0
    341346  nokogiri-1.13.8-x86_64-linux
    336397  concurrent-ruby-1.1.10
    332251  activemodel-7.0.4
    324530  reline-0.3.1
    323656  marcel-1.0.2
    287324  ffi-1.15.5
    254768  mail-2.7.1
    194517  rake-13.0.6
    172871  sassc-2.4.0
    163760  zeitwerk-2.6.0
    119546  rack-2.2.4
    111565  loofah-2.18.0
     86312  3.1.0
     78237  activejob-7.0.4
     73490  activestorage-7.0.4
     63752  sqlite3-1.4.2
     57428  actioncable-7.0.4
     51671  i18n-1.12.0
     45007  sprockets-rails-3.4.2
     32704  rails/app
     32702  will_paginate-3.3.1
     31688  tilt-2.0.11
     27712  ruby-3.1.2
     26616  importmap-rails-1.1.0
     23192  actiontext-7.0.4
     23172  rack-test-2.0.2
     22533  sassc-rails-2.1.2
     21456  jbuilder-2.11.5
     20232  globalid-1.0.0
     20032  config/app
     19919  puma-5.6.4
     19330  rails-html-sanitizer-1.4.3
     17107  actionmailbox-7.0.4
     15400  turbo-rails-1.1.1
     15392  net-protocol-0.1.3

allocated memory by file
-----------------------------------
  14693588  /usr/share/rvm/gems/ruby-3.1.2/gems/bootsnap-1.12.0/lib/bootsnap/compile_cache/iseq.rb
   2321881  /usr/share/rvm/rubies/ruby-3.1.2/lib/ruby/3.1.0/rubygems.rb
   1347322  /usr/share/rvm/gems/ruby-3.1.2/gems/debug-1.5.0/lib/debug/session.rb
   1052458  /usr/share/rvm/gems/ruby-3.1.2/gems/activerecord-7.0.4/lib/active_record/connection_adapters/abstract/connection_pool/reaper.rb
    884388  <internal:/usr/share/rvm/rubies/ruby-3.1.2/lib/ruby/3.1.0/rubygems/core_ext/kernel_require.rb>
    859697  /usr/share/rvm/gems/ruby-3.1.2/gems/tzinfo-2.0.5/lib/tzinfo/data_sources/zoneinfo_data_source.rb
    815522  /usr/share/rvm/rubies/ruby-3.1.2/lib/ruby/3.1.0/rubygems/specification.rb
    813400  /usr/share/rvm/gems/ruby-3.1.2/gems/railties-7.0.4/lib/rails/initializable.rb
    746050  /usr/share/rvm/gems/ruby-3.1.2/gems/activesupport-7.0.4/lib/active_support/core_ext/module/delegation.rb
    664230  /usr/share/rvm/gems/ruby-3.1.2/gems/bootsnap-1.12.0/lib/bootsnap/load_path_cache/core_ext/kernel_require.rb
    606460  /usr/share/rvm/gems/ruby-3.1.2/gems/bootsnap-1.12.0/lib/bootsnap/load_path_cache/cache.rb
    584568  /usr/share/rvm/gems/ruby-3.1.2/gems/sprockets-4.1.1/lib/sprockets/utils.rb
    584180  /usr/share/rvm/gems/ruby-3.1.2/gems/msgpack-1.5.6/lib/msgpack.rb
    569998  /usr/share/rvm/gems/ruby-3.1.2/gems/activesupport-7.0.4/lib/active_support/inflector/methods.rb
    537481  /usr/share/rvm/gems/ruby-3.1.2/gems/debug-1.5.0/lib/debug/thread_client.rb
    486364  /usr/share/rvm/rubies/ruby-3.1.2/lib/ruby/3.1.0/rubygems/stub_specification.rb
    452072  /usr/share/rvm/rubies/ruby-3.1.2/lib/ruby/3.1.0/rubygems/version.rb
    415550  /usr/share/rvm/gems/ruby-3.1.2/gems/bundler-2.3.14/lib/bundler/settings.rb
    407841  /usr/share/rvm/gems/ruby-3.1.2/gems/bundler-2.3.14/lib/bundler/vendor/uri/lib/uri/common.rb
    397296  /usr/share/rvm/rubies/ruby-3.1.2/lib/ruby/3.1.0/set.rb
    394471  /usr/share/rvm/rubies/ruby-3.1.2/lib/ruby/3.1.0/forwardable/impl.rb
    386916  /usr/share/rvm/gems/ruby-3.1.2/gems/actionpack-7.0.4/lib/action_dispatch/routing/mapper.rb
    384960  /usr/share/rvm/gems/ruby-3.1.2/gems/sprockets-4.1.1/lib/sprockets/transformers.rb
    380832  /usr/share/rvm/rubies/ruby-3.1.2/lib/ruby/3.1.0/rubygems/requirement.rb
    379628  <internal:trace_point>
    375877  /usr/share/rvm/gems/ruby-3.1.2/gems/bundler-2.3.14/lib/bundler/vendor/uri/lib/uri.rb
    371686  /usr/share/rvm/gems/ruby-3.1.2/gems/activesupport-7.0.4/lib/active_support/core_ext/class/attribute.rb
